CIDR,Network Prefix Address,Route Prefix,Address Count,Address Count 2^n
ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff/128,ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff,128,1,0
ffff:ffff:ffff:ffff:ffff:ffff:ffff:fffe/127,ffff:ffff:ffff:ffff:ffff:ffff:ffff:fffe,127,2,1
ffff:ffff:ffff:ffff:ffff:ffff:ffff:fffc/126,ffff:ffff:ffff:ffff:ffff:ffff:ffff:fffc,126,4,2
ffff:ffff:ffff:ffff:ffff:ffff:ffff:fff8/125,ffff:ffff:ffff:ffff:ffff:ffff:ffff:fff8,125,8,3
ffff:ffff:ffff:ffff:ffff:ffff:ffff:fff0/124,ffff:ffff:ffff:ffff:ffff:ffff:ffff:fff0,124,16,4
ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffe0/123,ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffe0,123,32,5
ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffc0/122,ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffc0,122,64,6
ffff:ffff:ffff:ffff:ffff:ffff:ffff:ff80/121,ffff:ffff:ffff:ffff:ffff:ffff:ffff:ff80,121,128,7
ffff:ffff:ffff:ffff:ffff:ffff:ffff:ff00/120,ffff:ffff:ffff:ffff:ffff:ffff:ffff:ff00,120,256,8
ffff:ffff:ffff:ffff:ffff:ffff:ffff:fe00/119,ffff:ffff:ffff:ffff:ffff:ffff:ffff:fe00,119,512,9
ffff:ffff:ffff:ffff:ffff:ffff:ffff:fc00/118,ffff:ffff:ffff:ffff:ffff:ffff:ffff:fc00,118,1024,10
ffff:ffff:ffff:ffff:ffff:ffff:ffff:f800/117,ffff:ffff:ffff:ffff:ffff:ffff:ffff:f800,117,2048,11
ffff:ffff:ffff:ffff:ffff:ffff:ffff:f000/116,ffff:ffff:ffff:ffff:ffff:ffff:ffff:f000,116,4096,12
ffff:ffff:ffff:ffff:ffff:ffff:ffff:e000/115,ffff:ffff:ffff:ffff:ffff:ffff:ffff:e000,115,8192,13
ffff:ffff:ffff:ffff:ffff:ffff:ffff:c000/114,ffff:ffff:ffff:ffff:ffff:ffff:ffff:c000,114,16384,14
ffff:ffff:ffff:ffff:ffff:ffff:ffff:8000/113,ffff:ffff:ffff:ffff:ffff:ffff:ffff:8000,113,32768,15
ffff:ffff:ffff:ffff:ffff:ffff:ffff:0/112,ffff:ffff:ffff:ffff:ffff:ffff:ffff:0,112,65536,16
ffff:ffff:ffff:ffff:ffff:ffff:fffe:0/111,ffff:ffff:ffff:ffff:ffff:ffff:fffe:0,111,131072,17
ffff:ffff:ffff:ffff:ffff:ffff:fffc:0/110,ffff:ffff:ffff:ffff:ffff:ffff:fffc:0,110,262144,18
ffff:ffff:ffff:ffff:ffff:ffff:fff8:0/109,ffff:ffff:ffff:ffff:ffff:ffff:fff8:0,109,524288,19
ffff:ffff:ffff:ffff:ffff:ffff:fff0:0/108,ffff:ffff:ffff:ffff:ffff:ffff:fff0:0,108,1048576,20
ffff:ffff:ffff:ffff:ffff:ffff:ffe0:0/107,ffff:ffff:ffff:ffff:ffff:ffff:ffe0:0,107,2097152,21
ffff:ffff:ffff:ffff:ffff:ffff:ffc0:0/106,ffff:ffff:ffff:ffff:ffff:ffff:ffc0:0,106,4194304,22
ffff:ffff:ffff:ffff:ffff:ffff:ff80:0/105,ffff:ffff:ffff:ffff:ffff:ffff:ff80:0,105,8388608,23
ffff:ffff:ffff:ffff:ffff:ffff:ff00:0/104,ffff:ffff:ffff:ffff:ffff:ffff:ff00:0,104,16777216,24
ffff:ffff:ffff:ffff:ffff:ffff:fe00:0/103,ffff:ffff:ffff:ffff:ffff:ffff:fe00:0,103,33554432,25
ffff:ffff:ffff:ffff:ffff:ffff:fc00:0/102,ffff:ffff:ffff:ffff:ffff:ffff:fc00:0,102,67108864,26
ffff:ffff:ffff:ffff:ffff:ffff:f800:0/101,ffff:ffff:ffff:ffff:ffff:ffff:f800:0,101,134217728,27
ffff:ffff:ffff:ffff:ffff:ffff:f000:0/100,ffff:ffff:ffff:ffff:ffff:ffff:f000:0,100,268435456,28
ffff:ffff:ffff:ffff:ffff:ffff:e000:0/99,ffff:ffff:ffff:ffff:ffff:ffff:e000:0,99,536870912,29
ffff:ffff:ffff:ffff:ffff:ffff:c000:0/98,ffff:ffff:ffff:ffff:ffff:ffff:c000:0,98,1073741824,30
ffff:ffff:ffff:ffff:ffff:ffff:8000:0/97,ffff:ffff:ffff:ffff:ffff:ffff:8000:0,97,2147483648,31
ffff:ffff:ffff:ffff:ffff:ffff::/96,ffff:ffff:ffff:ffff:ffff:ffff::,96,4294967296,32
ffff:ffff:ffff:ffff:ffff:fffe::/95,ffff:ffff:ffff:ffff:ffff:fffe::,95,8589934592,33
ffff:ffff:ffff:ffff:ffff:fffc::/94,ffff:ffff:ffff:ffff:ffff:fffc::,94,17179869184,34
ffff:ffff:ffff:ffff:ffff:fff8::/93,ffff:ffff:ffff:ffff:ffff:fff8::,93,34359738368,35
ffff:ffff:ffff:ffff:ffff:fff0::/92,ffff:ffff:ffff:ffff:ffff:fff0::,92,68719476736,36
ffff:ffff:ffff:ffff:ffff:ffe0::/91,ffff:ffff:ffff:ffff:ffff:ffe0::,91,137438953472,37
ffff:ffff:ffff:ffff:ffff:ffc0::/90,ffff:ffff:ffff:ffff:ffff:ffc0::,90,274877906944,38
ffff:ffff:ffff:ffff:ffff:ff80::/89,ffff:ffff:ffff:ffff:ffff:ff80::,89,549755813888,39
ffff:ffff:ffff:ffff:ffff:ff00::/88,ffff:ffff:ffff:ffff:ffff:ff00::,88,1099511627776,40
ffff:ffff:ffff:ffff:ffff:fe00::/87,ffff:ffff:ffff:ffff:ffff:fe00::,87,2199023255552,41
ffff:ffff:ffff:ffff:ffff:fc00::/86,ffff:ffff:ffff:ffff:ffff:fc00::,86,4398046511104,42
ffff:ffff:ffff:ffff:ffff:f800::/85,ffff:ffff:ffff:ffff:ffff:f800::,85,8796093022208,43
ffff:ffff:ffff:ffff:ffff:f000::/84,ffff:ffff:ffff:ffff:ffff:f000::,84,17592186044416,44
ffff:ffff:ffff:ffff:ffff:e000::/83,ffff:ffff:ffff:ffff:ffff:e000::,83,35184372088832,45
ffff:ffff:ffff:ffff:ffff:c000::/82,ffff:ffff:ffff:ffff:ffff:c000::,82,70368744177664,46
ffff:ffff:ffff:ffff:ffff:8000::/81,ffff:ffff:ffff:ffff:ffff:8000::,81,140737488355328,47
ffff:ffff:ffff:ffff:ffff::/80,ffff:ffff:ffff:ffff:ffff::,80,281474976710656,48
ffff:ffff:ffff:ffff:fffe::/79,ffff:ffff:ffff:ffff:fffe::,79,562949953421312,49
ffff:ffff:ffff:ffff:fffc::/78,ffff:ffff:ffff:ffff:fffc::,78,1125899906842624,50
ffff:ffff:ffff:ffff:fff8::/77,ffff:ffff:ffff:ffff:fff8::,77,2251799813685248,51
ffff:ffff:ffff:ffff:fff0::/76,ffff:ffff:ffff:ffff:fff0::,76,4503599627370496,52
ffff:ffff:ffff:ffff:ffe0::/75,ffff:ffff:ffff:ffff:ffe0::,75,9007199254740992,53
ffff:ffff:ffff:ffff:ffc0::/74,ffff:ffff:ffff:ffff:ffc0::,74,18014398509481984,54
ffff:ffff:ffff:ffff:ff80::/73,ffff:ffff:ffff:ffff:ff80::,73,36028797018963968,55
ffff:ffff:ffff:ffff:ff00::/72,ffff:ffff:ffff:ffff:ff00::,72,72057594037927936,56
ffff:ffff:ffff:ffff:fe00::/71,ffff:ffff:ffff:ffff:fe00::,71,144115188075855872,57
ffff:ffff:ffff:ffff:fc00::/70,ffff:ffff:ffff:ffff:fc00::,70,288230376151711744,58
ffff:ffff:ffff:ffff:f800::/69,ffff:ffff:ffff:ffff:f800::,69,576460752303423488,59
ffff:ffff:ffff:ffff:f000::/68,ffff:ffff:ffff:ffff:f000::,68,1152921504606846976,60
ffff:ffff:ffff:ffff:e000::/67,ffff:ffff:ffff:ffff:e000::,67,2305843009213693952,61
ffff:ffff:ffff:ffff:c000::/66,ffff:ffff:ffff:ffff:c000::,66,4611686018427387904,62
ffff:ffff:ffff:ffff:8000::/65,ffff:ffff:ffff:ffff:8000::,65,9223372036854775808,63
ffff:ffff:ffff:ffff::/64,ffff:ffff:ffff:ffff::,64,18446744073709551616,64
ffff:ffff:ffff:fffe::/63,ffff:ffff:ffff:fffe::,63,36893488147419103232,65
ffff:ffff:ffff:fffc::/62,ffff:ffff:ffff:fffc::,62,73786976294838206464,66
ffff:ffff:ffff:fff8::/61,ffff:ffff:ffff:fff8::,61,147573952589676412928,67
ffff:ffff:ffff:fff0::/60,ffff:ffff:ffff:fff0::,60,295147905179352825856,68
ffff:ffff:ffff:ffe0::/59,ffff:ffff:ffff:ffe0::,59,590295810358705651712,69
ffff:ffff:ffff:ffc0::/58,ffff:ffff:ffff:ffc0::,58,1180591620717411303424,70
ffff:ffff:ffff:ff80::/57,ffff:ffff:ffff:ff80::,57,2361183241434822606848,71
ffff:ffff:ffff:ff00::/56,ffff:ffff:ffff:ff00::,56,4722366482869645213696,72
ffff:ffff:ffff:fe00::/55,ffff:ffff:ffff:fe00::,55,9444732965739290427392,73
ffff:ffff:ffff:fc00::/54,ffff:ffff:ffff:fc00::,54,18889465931478580854784,74
ffff:ffff:ffff:f800::/53,ffff:ffff:ffff:f800::,53,37778931862957161709568,75
ffff:ffff:ffff:f000::/52,ffff:ffff:ffff:f000::,52,75557863725914323419136,76
ffff:ffff:ffff:e000::/51,ffff:ffff:ffff:e000::,51,151115727451828646838272,77
ffff:ffff:ffff:c000::/50,ffff:ffff:ffff:c000::,50,302231454903657293676544,78
ffff:ffff:ffff:8000::/49,ffff:ffff:ffff:8000::,49,604462909807314587353088,79
ffff:ffff:ffff::/48,ffff:ffff:ffff::,48,1208925819614629174706176,80
ffff:ffff:fffe::/47,ffff:ffff:fffe::,47,2417851639229258349412352,81
ffff:ffff:fffc::/46,ffff:ffff:fffc::,46,4835703278458516698824704,82
ffff:ffff:fff8::/45,ffff:ffff:fff8::,45,9671406556917033397649408,83
ffff:ffff:fff0::/44,ffff:ffff:fff0::,44,19342813113834066795298816,84
ffff:ffff:ffe0::/43,ffff:ffff:ffe0::,43,38685626227668133590597632,85
ffff:ffff:ffc0::/42,ffff:ffff:ffc0::,42,77371252455336267181195264,86
ffff:ffff:ff80::/41,ffff:ffff:ff80::,41,154742504910672534362390528,87
ffff:ffff:ff00::/40,ffff:ffff:ff00::,40,309485009821345068724781056,88
ffff:ffff:fe00::/39,ffff:ffff:fe00::,39,618970019642690137449562112,89
ffff:ffff:fc00::/38,ffff:ffff:fc00::,38,1237940039285380274899124224,90
ffff:ffff:f800::/37,ffff:ffff:f800::,37,2475880078570760549798248448,91
ffff:ffff:f000::/36,ffff:ffff:f000::,36,4951760157141521099596496896,92
ffff:ffff:e000::/35,ffff:ffff:e000::,35,9903520314283042199192993792,93
ffff:ffff:c000::/34,ffff:ffff:c000::,34,19807040628566084398385987584,94
ffff:ffff:8000::/33,ffff:ffff:8000::,33,39614081257132168796771975168,95
ffff:ffff::/32,ffff:ffff::,32,79228162514264337593543950336,96
ffff:fffe::/31,ffff:fffe::,31,158456325028528675187087900672,97
ffff:fffc::/30,ffff:fffc::,30,316912650057057350374175801344,98
ffff:fff8::/29,ffff:fff8::,29,633825300114114700748351602688,99
ffff:fff0::/28,ffff:fff0::,28,1267650600228229401496703205376,100
ffff:ffe0::/27,ffff:ffe0::,27,2535301200456458802993406410752,101
ffff:ffc0::/26,ffff:ffc0::,26,5070602400912917605986812821504,102
ffff:ff80::/25,ffff:ff80::,25,10141204801825835211973625643008,103
ffff:ff00::/24,ffff:ff00::,24,20282409603651670423947251286016,104
ffff:fe00::/23,ffff:fe00::,23,40564819207303340847894502572032,105
