CIDR,Network Prefix Address,Route Prefix,Netmask,Netmask (bits),Address Count,Address Count 2^n
255.255.255.255/32,255.255.255.255,32,255.255.255.255,11111111 11111111 11111111 11111111,1,0
255.255.255.254/31,255.255.255.254,31,255.255.255.254,11111111 11111111 11111111 11111110,2,1
255.255.255.252/30,255.255.255.252,30,255.255.255.252,11111111 11111111 11111111 11111100,4,2
255.255.255.248/29,255.255.255.248,29,255.255.255.248,11111111 11111111 11111111 11111000,8,3
255.255.255.240/28,255.255.255.240,28,255.255.255.240,11111111 11111111 11111111 11110000,16,4
255.255.255.224/27,255.255.255.224,27,255.255.255.224,11111111 11111111 11111111 11100000,32,5
255.255.255.192/26,255.255.255.192,26,255.255.255.192,11111111 11111111 11111111 11000000,64,6
255.255.255.128/25,255.255.255.128,25,255.255.255.128,11111111 11111111 11111111 10000000,128,7
255.255.255.0/24,255.255.255.0,24,255.255.255.0,11111111 11111111 11111111 00000000,256,8
255.255.254.0/23,255.255.254.0,23,255.255.254.0,11111111 11111111 11111110 00000000,512,9
255.255.252.0/22,255.255.252.0,22,255.255.252.0,11111111 11111111 11111100 00000000,1024,10
255.255.248.0/21,255.255.248.0,21,255.255.248.0,11111111 11111111 11111000 00000000,2048,11
255.255.240.0/20,255.255.240.0,20,255.255.240.0,11111111 11111111 11110000 00000000,4096,12
255.255.224.0/19,255.255.224.0,19,255.255.224.0,11111111 11111111 11100000 00000000,8192,13
255.255.192.0/18,255.255.192.0,18,255.255.192.0,11111111 11111111 11000000 00000000,16384,14
255.255.128.0/17,255.255.128.0,17,255.255.128.0,11111111 11111111 10000000 00000000,32768,15
255.255.0.0/16,255.255.0.0,16,255.255.0.0,11111111 11111111 00000000 00000000,65536,16
255.254.0.0/15,255.254.0.0,15,255.254.0.0,11111111 11111110 00000000 00000000,131072,17
255.252.0.0/14,255.252.0.0,14,255.252.0.0,11111111 11111100 00000000 00000000,262144,18
255.248.0.0/13,255.248.0.0,13,255.248.0.0,11111111 11111000 00000000 00000000,524288,19
255.240.0.0/12,255.240.0.0,12,255.240.0.0,11111111 11110000 00000000 00000000,1048576,20
255.224.0.0/11,255.224.0.0,11,255.224.0.0,11111111 11100000 00000000 00000000,2097152,21
255.192.0.0/10,255.192.0.0,10,255.192.0.0,11111111 11000000 00000000 00000000,4194304,22
255.128.0.0/9,255.128.0.0,9,255.128.0.0,11111111 10000000 00000000 00000000,8388608,23
255.0.0.0/8,255.0.0.0,8,255.0.0.0,11111111 00000000 00000000 00000000,16777216,24
254.0.0.0/7,254.0.0.0,7,254.0.0.0,11111110 00000000 00000000 00000000,33554432,25
252.0.0.0/6,252.0.0.0,6,252.0.0.0,11111100 00000000 00000000 00000000,67108864,26
248.0.0.0/5,248.0.0.0,5,248.0.0.0,11111000 00000000 00000000 00000000,134217728,27
240.0.0.0/4,240.0.0.0,4,240.0.0.0,11110000 00000000 00000000 00000000,268435456,28
224.0.0.0/3,224.0.0.0,3,224.0.0.0,11100000 00000000 00000000 00000000,536870912,29
192.0.0.0/2,192.0.0.0,2,192.0.0.0,11000000 00000000 00000000 00000000,1073741824,30
128.0.0.0/1,128.0.0.0,1,128.0.0.0,10000000 00000000 00000000 00000000,2147483648,31
0.0.0.0/0,0.0.0.0,0,0.0.0.0,00000000 00000000 00000000 00000000,4294967296,32
